row_id,report_date,client_id,platform,campaign_id,campaign_name,impressions,clicks,spend,conversions,currency
go-co-00022,2026-07-08,contoso_travel,google_ads,GO9200,CT_Summer_Sun_EU,42803,995,1703.90,28,EUR
go-co-00023,2026-07-08,contoso_travel,google_ads,GO8169,CT_CityBreaks_EU,107744,2657,759.14,46,EUR
go-co-00024,2026-07-08,contoso_travel,google_ads,GO3250,CT_Loyalty_EU,146990,1280,1289.21,51,EUR
go-co-00025,2026-07-09,contoso_travel,google_ads,GO9200,CT_Summer_Sun_EU,13779,227,529.41,5,EUR
go-co-00026,2026-07-09,contoso_travel,google_ads,GO8169,CT_CityBreaks_EU,136473,1578,1799.96,30,EUR
go-co-00027,2026-07-09,contoso_travel,google_ads,GO3250,CT_Loyalty_EU,86540,2638,406.77,148,EUR
go-co-00028,2026-07-10,contoso_travel,google_ads,GO9200,CT_Summer_Sun_EU,147027,1043,771.98,58,EUR
go-co-00029,2026-07-10,contoso_travel,google_ads,GO8169,CT_CityBreaks_EU,43353,1010,489.09,21,EUR
go-co-00030,2026-07-10,contoso_travel,google_ads,GO3250,CT_Loyalty_EU,52395,1410,317.72,44,EUR
go-co-00031,2026-07-11,contoso_travel,google_ads,GO9200,CT_Summer_Sun_EU,71267,2431,1196.42,134,EUR
go-co-00032,2026-07-11,contoso_travel,google_ads,GO8169,CT_CityBreaks_EU,126683,1619,620.71,109,EUR
go-co-00033,2026-07-11,contoso_travel,google_ads,GO3250,CT_Loyalty_EU,131949,4250,550.73,215,EUR
go-co-00034,2026-07-12,contoso_travel,google_ads,GO9200,CT_Summer_Sun_EU,158532,5477,965.60,147,EUR
go-co-00035,2026-07-12,contoso_travel,google_ads,GO8169,CT_CityBreaks_EU,109105,2245,898.92,44,EUR
go-co-00036,2026-07-12,contoso_travel,google_ads,GO3250,CT_Loyalty_EU,61349,1793,464.52,44,EUR
go-co-00037,2026-07-13,contoso_travel,google_ads,GO9200,CT_Summer_Sun_EU,134983,4231,1109.54,68,EUR
go-co-00038,2026-07-13,contoso_travel,google_ads,GO8169,CT_CityBreaks_EU,144242,4425,691.85,246,EUR
go-co-00039,2026-07-13,contoso_travel,google_ads,GO3250,CT_Loyalty_EU,80510,1532,1045.70,91,EUR
go-co-00040,2026-07-14,contoso_travel,google_ads,GO9200,CT_Summer_Sun_EU,33042,1105,594.16,40,EUR
go-co-00041,2026-07-14,contoso_travel,google_ads,GO8169,CT_CityBreaks_EU,100641,3319,893.09,112,EUR
go-co-00042,2026-07-14,contoso_travel,google_ads,GO3250,CT_Loyalty_EU,107031,1374,1791.51,44,EUR
