row_id,report_date,client_id,platform,campaign_id,campaign_name,impressions,clicks,spend,conversions,currency
fa-no-00057,2026-07-15,northwind_retail,facebook_ads,FA5469,NW_BrandSearch_UK,128277,1830,1932.50,98,GBP
fa-no-00058,2026-07-15,northwind_retail,facebook_ads,FA3942,NW_Prospecting_UK,154691,3897,1470.68,83,GBP
fa-no-00059,2026-07-15,northwind_retail,facebook_ads,FA9761,NW_Retarget_UK,66068,2252,1674.20,95,GBP
fa-no-00060,2026-07-15,northwind_retail,facebook_ads,FA1431,NW_Shopping_UK,91209,698,1685.19,28,GBP
fa-no-00061,2026-07-16,northwind_retail,facebook_ads,FA5469,NW_BrandSearch_UK,148231,1566,2513.71,23,GBP
fa-no-00062,2026-07-16,northwind_retail,facebook_ads,FA3942,NW_Prospecting_UK,57712,460,549.51,28,GBP
fa-no-00063,2026-07-16,northwind_retail,facebook_ads,FA9761,NW_Retarget_UK,114847,1088,2358.63,26,GBP
fa-no-00064,2026-07-16,northwind_retail,facebook_ads,FA1431,NW_Shopping_UK,164849,1179,580.36,58,GBP
fa-no-00065,2026-07-17,northwind_retail,facebook_ads,FA5469,NW_BrandSearch_UK,157170,3325,2456.35,73,GBP
fa-no-00066,2026-07-17,northwind_retail,facebook_ads,FA3942,NW_Prospecting_UK,91361,1180,1270.73,59,GBP
fa-no-00067,2026-07-17,northwind_retail,facebook_ads,FA9761,NW_Retarget_UK,87642,1687,2443.84,111,GBP
fa-no-00068,2026-07-17,northwind_retail,facebook_ads,FA1431,NW_Shopping_UK,11441,220,2596.60,15,GBP
fa-no-00069,2026-07-18,northwind_retail,facebook_ads,FA5469,NW_BrandSearch_UK,28204,608,1512.95,10,GBP
fa-no-00070,2026-07-18,northwind_retail,facebook_ads,FA3942,NW_Prospecting_UK,100490,3169,2334.39,101,GBP
fa-no-00071,2026-07-18,northwind_retail,facebook_ads,FA9761,NW_Retarget_UK,50352,941,1595.08,26,GBP
fa-no-00072,2026-07-18,northwind_retail,facebook_ads,FA1431,NW_Shopping_UK,147658,919,2197.63,25,GBP
fa-no-00073,2026-07-19,northwind_retail,facebook_ads,FA5469,NW_BrandSearch_UK,36154,1201,695.44,20,GBP
fa-no-00074,2026-07-19,northwind_retail,facebook_ads,FA3942,NW_Prospecting_UK,37058,1020,741.99,27,GBP
fa-no-00075,2026-07-19,northwind_retail,facebook_ads,FA9761,NW_Retarget_UK,64215,1721,847.91,82,GBP
fa-no-00076,2026-07-19,northwind_retail,facebook_ads,FA1431,NW_Shopping_UK,78201,1615,952.47,104,GBP
fa-no-00077,2026-07-20,northwind_retail,facebook_ads,FA5469,NW_BrandSearch_UK,22316,193,1331.87,5,GBP
fa-no-00078,2026-07-20,northwind_retail,facebook_ads,FA3942,NW_Prospecting_UK,9929,155,687.80,10,GBP
fa-no-00079,2026-07-20,northwind_retail,facebook_ads,FA9761,NW_Retarget_UK,51357,1412,1613.70,50,GBP
fa-no-00080,2026-07-20,northwind_retail,facebook_ads,FA1431,NW_Shopping_UK,11534,106,2479.11,5,GBP
fa-no-00081,2026-07-21,northwind_retail,facebook_ads,FA5469,NW_BrandSearch_UK,48073,1049,2236.11,47,GBP
fa-no-00082,2026-07-21,northwind_retail,facebook_ads,FA3942,NW_Prospecting_UK,47821,882,492.02,28,GBP
fa-no-00083,2026-07-21,northwind_retail,facebook_ads,FA9761,NW_Retarget_UK,19458,623,862.17,15,GBP
fa-no-00084,2026-07-21,northwind_retail,facebook_ads,FA1431,NW_Shopping_UK,35946,584,1631.74,36,GBP
