row_id,report_date,client_id,platform,campaign_id,campaign_name,impressions,clicks,spend,conversions,currency
go-no-00029,2026-07-08,northwind_retail,google_ads,GO5469,NW_BrandSearch_UK,10453,333,2292.97,21,GBP
go-no-00030,2026-07-08,northwind_retail,google_ads,GO3942,NW_Prospecting_UK,120449,1487,2169.04,76,GBP
go-no-00031,2026-07-08,northwind_retail,google_ads,GO9761,NW_Retarget_UK,130778,975,948.24,59,GBP
go-no-00032,2026-07-08,northwind_retail,google_ads,GO1431,NW_Shopping_UK,128658,1269,1422.22,53,GBP
go-no-00033,2026-07-09,northwind_retail,google_ads,GO5469,NW_BrandSearch_UK,155518,3618,2490.09,229,GBP
go-no-00034,2026-07-09,northwind_retail,google_ads,GO3942,NW_Prospecting_UK,141324,2596,2395.08,95,GBP
go-no-00035,2026-07-09,northwind_retail,google_ads,GO9761,NW_Retarget_UK,50722,1398,1444.28,35,GBP
go-no-00036,2026-07-09,northwind_retail,google_ads,GO1431,NW_Shopping_UK,73812,2240,1010.08,126,GBP
go-no-00037,2026-07-10,northwind_retail,google_ads,GO5469,NW_BrandSearch_UK,136034,3288,1004.11,48,GBP
go-no-00038,2026-07-10,northwind_retail,google_ads,GO3942,NW_Prospecting_UK,83901,1073,1138.86,68,GBP
go-no-00039,2026-07-10,northwind_retail,google_ads,GO9761,NW_Retarget_UK,30122,301,908.78,15,GBP
go-no-00040,2026-07-10,northwind_retail,google_ads,GO1431,NW_Shopping_UK,65086,511,1296.72,21,GBP
go-no-00041,2026-07-11,northwind_retail,google_ads,GO5469,NW_BrandSearch_UK,117992,921,2232.36,30,GBP
go-no-00042,2026-07-11,northwind_retail,google_ads,GO3942,NW_Prospecting_UK,162112,5420,442.97,340,GBP
go-no-00043,2026-07-11,northwind_retail,google_ads,GO9761,NW_Retarget_UK,159913,2723,412.97,84,GBP
go-no-00044,2026-07-11,northwind_retail,google_ads,GO1431,NW_Shopping_UK,111232,3420,2497.55,120,GBP
go-no-00045,2026-07-12,northwind_retail,google_ads,GO5469,NW_BrandSearch_UK,152165,4442,2375.18,174,GBP
go-no-00046,2026-07-12,northwind_retail,google_ads,GO3942,NW_Prospecting_UK,80548,1501,463.85,45,GBP
go-no-00047,2026-07-12,northwind_retail,google_ads,GO9761,NW_Retarget_UK,114989,3104,2249.11,202,GBP
go-no-00048,2026-07-12,northwind_retail,google_ads,GO1431,NW_Shopping_UK,149017,1010,1266.84,44,GBP
go-no-00049,2026-07-13,northwind_retail,google_ads,GO5469,NW_BrandSearch_UK,16104,135,1342.95,8,GBP
go-no-00050,2026-07-13,northwind_retail,google_ads,GO3942,NW_Prospecting_UK,56639,422,1234.03,9,GBP
go-no-00051,2026-07-13,northwind_retail,google_ads,GO9761,NW_Retarget_UK,94680,1494,2335.21,39,GBP
go-no-00052,2026-07-13,northwind_retail,google_ads,GO1431,NW_Shopping_UK,119510,1591,580.19,17,GBP
go-no-00053,2026-07-14,northwind_retail,google_ads,GO5469,NW_BrandSearch_UK,150405,1129,2494.22,26,GBP
go-no-00054,2026-07-14,northwind_retail,google_ads,GO3942,NW_Prospecting_UK,26987,773,1833.86,42,GBP
go-no-00055,2026-07-14,northwind_retail,google_ads,GO9761,NW_Retarget_UK,73823,869,444.84,16,GBP
go-no-00056,2026-07-14,northwind_retail,google_ads,GO1431,NW_Shopping_UK,42088,830,651.66,55,GBP
