row_id,report_date,client_id,platform,campaign_id,campaign_name,impressions,clicks,spend,conversions,currency
sn-no-00029,2026-07-08,northwind_retail,snapchat_ads,SN5469,NW_BrandSearch_UK,91448,1218,655.03,68,GBP
sn-no-00030,2026-07-08,northwind_retail,snapchat_ads,SN3942,NW_Prospecting_UK,143898,4305,402.53,267,GBP
sn-no-00031,2026-07-08,northwind_retail,snapchat_ads,SN9761,NW_Retarget_UK,130104,2339,812.68,74,GBP
sn-no-00032,2026-07-08,northwind_retail,snapchat_ads,SN1431,NW_Shopping_UK,139676,3371,2071.98,74,GBP
sn-no-00033,2026-07-09,northwind_retail,snapchat_ads,SN5469,NW_BrandSearch_UK,152974,1499,1033.66,94,GBP
sn-no-00034,2026-07-09,northwind_retail,snapchat_ads,SN3942,NW_Prospecting_UK,136064,1295,2540.92,60,GBP
sn-no-00035,2026-07-09,northwind_retail,snapchat_ads,SN9761,NW_Retarget_UK,71730,1906,1083.65,20,GBP
sn-no-00036,2026-07-09,northwind_retail,snapchat_ads,SN1431,NW_Shopping_UK,115952,1009,2582.97,65,GBP
sn-no-00037,2026-07-10,northwind_retail,snapchat_ads,SN5469,NW_BrandSearch_UK,129965,4349,1824.96,83,GBP
sn-no-00038,2026-07-10,northwind_retail,snapchat_ads,SN3942,NW_Prospecting_UK,85509,1774,1001.53,106,GBP
sn-no-00039,2026-07-10,northwind_retail,snapchat_ads,SN9761,NW_Retarget_UK,132789,1735,1612.78,57,GBP
sn-no-00040,2026-07-10,northwind_retail,snapchat_ads,SN1431,NW_Shopping_UK,142232,3931,700.32,55,GBP
sn-no-00041,2026-07-11,northwind_retail,snapchat_ads,SN5469,NW_BrandSearch_UK,117774,1867,2132.98,48,GBP
sn-no-00042,2026-07-11,northwind_retail,snapchat_ads,SN3942,NW_Prospecting_UK,9672,137,1056.82,6,GBP
sn-no-00043,2026-07-11,northwind_retail,snapchat_ads,SN9761,NW_Retarget_UK,137356,4270,1382.40,166,GBP
sn-no-00044,2026-07-11,northwind_retail,snapchat_ads,SN1431,NW_Shopping_UK,96147,2115,1595.55,78,GBP
sn-no-00045,2026-07-12,northwind_retail,snapchat_ads,SN5469,NW_BrandSearch_UK,93352,2914,2557.70,70,GBP
sn-no-00046,2026-07-12,northwind_retail,snapchat_ads,SN3942,NW_Prospecting_UK,109393,1397,2106.20,17,GBP
sn-no-00047,2026-07-12,northwind_retail,snapchat_ads,SN9761,NW_Retarget_UK,132987,3517,2185.10,116,GBP
sn-no-00048,2026-07-12,northwind_retail,snapchat_ads,SN1431,NW_Shopping_UK,48873,995,481.44,39,GBP
sn-no-00049,2026-07-13,northwind_retail,snapchat_ads,SN5469,NW_BrandSearch_UK,163712,2558,620.80,155,GBP
sn-no-00050,2026-07-13,northwind_retail,snapchat_ads,SN3942,NW_Prospecting_UK,35138,746,1405.24,39,GBP
sn-no-00051,2026-07-13,northwind_retail,snapchat_ads,SN9761,NW_Retarget_UK,116473,3640,2533.90,52,GBP
sn-no-00052,2026-07-13,northwind_retail,snapchat_ads,SN1431,NW_Shopping_UK,78474,1241,1923.95,60,GBP
sn-no-00053,2026-07-14,northwind_retail,snapchat_ads,SN5469,NW_BrandSearch_UK,95131,2922,2290.55,95,GBP
sn-no-00054,2026-07-14,northwind_retail,snapchat_ads,SN3942,NW_Prospecting_UK,92010,2224,2352.37,87,GBP
sn-no-00055,2026-07-14,northwind_retail,snapchat_ads,SN9761,NW_Retarget_UK,150824,1061,550.53,50,GBP
sn-no-00056,2026-07-14,northwind_retail,snapchat_ads,SN1431,NW_Shopping_UK,84334,2945,2042.89,106,GBP
