row_id,report_date,client_id,platform,campaign_id,campaign_name,impressions,clicks,spend,conversions,currency
go-co-00001,2026-07-01,contoso_travel,google_ads,GO9200,CT_Summer_Sun_EU,59830,1930,791.53,103,EUR
go-co-00002,2026-07-01,contoso_travel,google_ads,GO8169,CT_CityBreaks_EU,47716,613,476.99,13,EUR
go-co-00003,2026-07-01,contoso_travel,google_ads,GO3250,CT_Loyalty_EU,49073,1376,1266.04,28,EUR
go-co-00004,2026-07-02,contoso_travel,google_ads,GO9200,CT_Summer_Sun_EU,138529,2695,1123.79,120,EUR
go-co-00005,2026-07-02,contoso_travel,google_ads,GO8169,CT_CityBreaks_EU,156978,3868,1779.12,113,EUR
go-co-00006,2026-07-02,contoso_travel,google_ads,GO3250,CT_Loyalty_EU,91873,953,355.84,34,EUR
go-co-00007,2026-07-03,contoso_travel,google_ads,GO9200,CT_Summer_Sun_EU,88382,2571,1166.70,80,EUR
go-co-00008,2026-07-03,contoso_travel,google_ads,GO8169,CT_CityBreaks_EU,28448,426,950.47,5,EUR
go-co-00009,2026-07-03,contoso_travel,google_ads,GO3250,CT_Loyalty_EU,84255,693,1589.59,42,EUR
go-co-00010,2026-07-04,contoso_travel,google_ads,GO9200,CT_Summer_Sun_EU,164734,3410,967.20,147,EUR
go-co-00011,2026-07-04,contoso_travel,google_ads,GO8169,CT_CityBreaks_EU,19753,376,1505.21,18,EUR
go-co-00012,2026-07-04,contoso_travel,google_ads,GO3250,CT_Loyalty_EU,93286,2196,1027.12,148,EUR
go-co-00013,2026-07-05,contoso_travel,google_ads,GO9200,CT_Summer_Sun_EU,127101,1144,1643.65,35,EUR
go-co-00014,2026-07-05,contoso_travel,google_ads,GO8169,CT_CityBreaks_EU,31106,641,517.47,15,EUR
go-co-00015,2026-07-05,contoso_travel,google_ads,GO3250,CT_Loyalty_EU,123755,4299,1062.31,200,EUR
go-co-00016,2026-07-06,contoso_travel,google_ads,GO9200,CT_Summer_Sun_EU,104393,1755,688.49,60,EUR
go-co-00017,2026-07-06,contoso_travel,google_ads,GO8169,CT_CityBreaks_EU,97700,2509,331.17,120,EUR
go-co-00018,2026-07-06,contoso_travel,google_ads,GO3250,CT_Loyalty_EU,96726,765,396.48,38,EUR
go-co-00019,2026-07-07,contoso_travel,google_ads,GO9200,CT_Summer_Sun_EU,83487,1111,1569.93,75,EUR
go-co-00020,2026-07-07,contoso_travel,google_ads,GO8169,CT_CityBreaks_EU,48419,758,1153.25,14,EUR
go-co-00021,2026-07-07,contoso_travel,google_ads,GO3250,CT_Loyalty_EU,100703,1510,1266.88,75,EUR
