row_id,report_date,client_id,platform,campaign_id,campaign_name,impressions,clicks,spend,conversions,currency
fa-no-00029,2026-07-08,northwind_retail,facebook_ads,FA5469,NW_BrandSearch_UK,85939,1599,1398.19,107,GBP
fa-no-00030,2026-07-08,northwind_retail,facebook_ads,FA3942,NW_Prospecting_UK,78045,2667,2076.32,107,GBP
fa-no-00031,2026-07-08,northwind_retail,facebook_ads,FA9761,NW_Retarget_UK,36894,1152,1056.58,55,GBP
fa-no-00032,2026-07-08,northwind_retail,facebook_ads,FA1431,NW_Shopping_UK,61143,637,2077.52,26,GBP
fa-no-00033,2026-07-09,northwind_retail,facebook_ads,FA5469,NW_BrandSearch_UK,148029,4831,1717.68,189,GBP
fa-no-00034,2026-07-09,northwind_retail,facebook_ads,FA3942,NW_Prospecting_UK,38325,1262,2333.19,75,GBP
fa-no-00035,2026-07-09,northwind_retail,facebook_ads,FA9761,NW_Retarget_UK,89612,1159,929.92,51,GBP
fa-no-00036,2026-07-09,northwind_retail,facebook_ads,FA1431,NW_Shopping_UK,29645,251,1469.18,3,GBP
fa-no-00037,2026-07-10,northwind_retail,facebook_ads,FA5469,NW_BrandSearch_UK,148645,4193,682.46,161,GBP
fa-no-00038,2026-07-10,northwind_retail,facebook_ads,FA3942,NW_Prospecting_UK,153127,1652,1560.88,76,GBP
fa-no-00039,2026-07-10,northwind_retail,facebook_ads,FA9761,NW_Retarget_UK,64521,2125,2061.58,109,GBP
fa-no-00040,2026-07-10,northwind_retail,facebook_ads,FA1431,NW_Shopping_UK,90714,1593,1877.71,51,GBP
fa-no-00041,2026-07-11,northwind_retail,facebook_ads,FA5469,NW_BrandSearch_UK,144679,2762,945.39,38,GBP
fa-no-00042,2026-07-11,northwind_retail,facebook_ads,FA3942,NW_Prospecting_UK,14514,334,906.25,7,GBP
fa-no-00043,2026-07-11,northwind_retail,facebook_ads,FA9761,NW_Retarget_UK,27610,732,529.52,10,GBP
fa-no-00044,2026-07-11,northwind_retail,facebook_ads,FA1431,NW_Shopping_UK,17234,533,555.89,12,GBP
fa-no-00045,2026-07-12,northwind_retail,facebook_ads,FA5469,NW_BrandSearch_UK,136248,1663,691.09,109,GBP
fa-no-00046,2026-07-12,northwind_retail,facebook_ads,FA3942,NW_Prospecting_UK,158695,3603,934.59,138,GBP
fa-no-00047,2026-07-12,northwind_retail,facebook_ads,FA9761,NW_Retarget_UK,115708,1333,613.25,47,GBP
fa-no-00048,2026-07-12,northwind_retail,facebook_ads,FA1431,NW_Shopping_UK,120038,2151,2300.44,28,GBP
fa-no-00049,2026-07-13,northwind_retail,facebook_ads,FA5469,NW_BrandSearch_UK,34799,269,2002.07,15,GBP
fa-no-00050,2026-07-13,northwind_retail,facebook_ads,FA3942,NW_Prospecting_UK,37644,497,818.46,18,GBP
fa-no-00051,2026-07-13,northwind_retail,facebook_ads,FA9761,NW_Retarget_UK,119593,1353,1417.78,84,GBP
fa-no-00052,2026-07-13,northwind_retail,facebook_ads,FA1431,NW_Shopping_UK,28761,542,2294.97,23,GBP
fa-no-00053,2026-07-14,northwind_retail,facebook_ads,FA5469,NW_BrandSearch_UK,22261,554,1589.29,6,GBP
fa-no-00054,2026-07-14,northwind_retail,facebook_ads,FA3942,NW_Prospecting_UK,33448,1099,2267.13,21,GBP
fa-no-00055,2026-07-14,northwind_retail,facebook_ads,FA9761,NW_Retarget_UK,136307,2720,2302.23,174,GBP
fa-no-00056,2026-07-14,northwind_retail,facebook_ads,FA1431,NW_Shopping_UK,52158,886,2567.68,22,GBP
