row_id,report_date,client_id,platform,campaign_id,campaign_name,impressions,clicks,spend,conversions,currency
fa-nw-late-000-32,2026-07-19,northwind_retail,facebook_ads,FA5469,NW_BrandSearch_UK,96304,2823,1542.53,53,GBP
fa-nw-late-000-62,2026-07-19,northwind_retail,facebook_ads,FA3942,NW_Prospecting_UK,144136,1449,2449.01,42,GBP
fa-nw-late-000-40,2026-07-19,northwind_retail,facebook_ads,FA9761,NW_Retarget_UK,112010,3889,2026.50,108,GBP
fa-nw-late-000-89,2026-07-19,northwind_retail,facebook_ads,FA1431,NW_Shopping_UK,97178,2012,1521.37,79,GBP
fa-nw-late-001-32,2026-07-20,northwind_retail,facebook_ads,FA5469,NW_BrandSearch_UK,156567,2300,2194.65,73,GBP
fa-nw-late-001-62,2026-07-20,northwind_retail,facebook_ads,FA3942,NW_Prospecting_UK,37732,1298,1684.14,75,GBP
fa-nw-late-001-40,2026-07-20,northwind_retail,facebook_ads,FA9761,NW_Retarget_UK,15985,372,984.17,18,GBP
fa-nw-late-001-89,2026-07-20,northwind_retail,facebook_ads,FA1431,NW_Shopping_UK,160643,3654,1987.08,164,GBP
fa-nw-late-002-32,2026-07-21,northwind_retail,facebook_ads,FA5469,NW_BrandSearch_UK,53698,1138,1986.60,64,GBP
fa-nw-late-002-62,2026-07-21,northwind_retail,facebook_ads,FA3942,NW_Prospecting_UK,108664,1117,1897.60,13,GBP
fa-nw-late-002-40,2026-07-21,northwind_retail,facebook_ads,FA9761,NW_Retarget_UK,37808,436,1370.28,15,GBP
fa-nw-late-002-89,2026-07-21,northwind_retail,facebook_ads,FA1431,NW_Shopping_UK,117255,3051,1302.83,172,GBP
fa-nw-late-003-32,2026-07-22,northwind_retail,facebook_ads,FA5469,NW_BrandSearch_UK,132628,4152,2018.84,57,GBP
fa-nw-late-003-62,2026-07-22,northwind_retail,facebook_ads,FA3942,NW_Prospecting_UK,45197,951,1633.95,66,GBP
fa-nw-late-003-40,2026-07-22,northwind_retail,facebook_ads,FA9761,NW_Retarget_UK,134402,2854,1090.26,58,GBP
fa-nw-late-003-89,2026-07-22,northwind_retail,facebook_ads,FA1431,NW_Shopping_UK,148756,2369,1179.43,133,GBP
fa-nw-late-004-32,2026-07-23,northwind_retail,facebook_ads,FA5469,NW_BrandSearch_UK,78300,1855,822.98,45,GBP
fa-nw-late-004-62,2026-07-23,northwind_retail,facebook_ads,FA3942,NW_Prospecting_UK,155299,2276,2471.27,156,GBP
fa-nw-late-004-40,2026-07-23,northwind_retail,facebook_ads,FA9761,NW_Retarget_UK,84760,2241,1918.53,88,GBP
fa-nw-late-004-89,2026-07-23,northwind_retail,facebook_ads,FA1431,NW_Shopping_UK,134777,2171,2454.14,125,GBP
fa-nw-late-005-32,2026-07-24,northwind_retail,facebook_ads,FA5469,NW_BrandSearch_UK,80685,1157,1661.65,49,GBP
fa-nw-late-005-62,2026-07-24,northwind_retail,facebook_ads,FA3942,NW_Prospecting_UK,112424,3342,2500.14,194,GBP
fa-nw-late-005-40,2026-07-24,northwind_retail,facebook_ads,FA9761,NW_Retarget_UK,85140,614,2501.69,9,GBP
fa-nw-late-005-89,2026-07-24,northwind_retail,facebook_ads,FA1431,NW_Shopping_UK,124966,3127,2044.14,71,GBP
