row_id,report_date,client_id,platform,campaign_id,campaign_name,impressions,clicks,spend,conversions,currency
go-no-00057,2026-07-15,northwind_retail,google_ads,GO5469,NW_BrandSearch_UK,130905,3440,2087.18,69,GBP
go-no-00058,2026-07-15,northwind_retail,google_ads,GO3942,NW_Prospecting_UK,39024,1114,760.28,31,GBP
go-no-00059,2026-07-15,northwind_retail,google_ads,GO9761,NW_Retarget_UK,160698,1083,1086.31,54,GBP
go-no-00060,2026-07-15,northwind_retail,google_ads,GO1431,NW_Shopping_UK,107384,1879,1973.03,27,GBP
go-no-00061,2026-07-16,northwind_retail,google_ads,GO5469,NW_BrandSearch_UK,72661,650,2099.46,39,GBP
go-no-00062,2026-07-16,northwind_retail,google_ads,GO3942,NW_Prospecting_UK,40733,1184,1645.05,14,GBP
go-no-00063,2026-07-16,northwind_retail,google_ads,GO9761,NW_Retarget_UK,148655,2738,1215.26,110,GBP
go-no-00064,2026-07-16,northwind_retail,google_ads,GO1431,NW_Shopping_UK,98451,626,1324.13,24,GBP
go-no-00065,2026-07-17,northwind_retail,google_ads,GO5469,NW_BrandSearch_UK,122645,4153,1798.29,248,GBP
go-no-00066,2026-07-17,northwind_retail,google_ads,GO3942,NW_Prospecting_UK,49105,914,2014.35,62,GBP
go-no-00067,2026-07-17,northwind_retail,google_ads,GO9761,NW_Retarget_UK,79800,1904,2423.16,107,GBP
go-no-00068,2026-07-17,northwind_retail,google_ads,GO1431,NW_Shopping_UK,130863,2438,2008.26,63,GBP
go-no-00069,2026-07-18,northwind_retail,google_ads,GO5469,NW_BrandSearch_UK,73355,2207,590.66,138,GBP
go-no-00070,2026-07-18,northwind_retail,google_ads,GO3942,NW_Prospecting_UK,72927,2024,1653.67,101,GBP
go-no-00071,2026-07-18,northwind_retail,google_ads,GO9761,NW_Retarget_UK,97184,663,2272.10,13,GBP
go-no-00072,2026-07-18,northwind_retail,google_ads,GO1431,NW_Shopping_UK,64605,1052,968.38,28,GBP
go-no-00073,2026-07-19,northwind_retail,google_ads,GO5469,NW_BrandSearch_UK,81422,1800,1536.58,38,GBP
go-no-00074,2026-07-19,northwind_retail,google_ads,GO3942,NW_Prospecting_UK,72270,1942,1474.87,107,GBP
go-no-00075,2026-07-19,northwind_retail,google_ads,GO9761,NW_Retarget_UK,133804,3309,1479.81,190,GBP
go-no-00076,2026-07-19,northwind_retail,google_ads,GO1431,NW_Shopping_UK,33393,485,1289.68,11,GBP
go-no-00077,2026-07-20,northwind_retail,google_ads,GO5469,NW_BrandSearch_UK,161451,2696,1617.64,82,GBP
go-no-00078,2026-07-20,northwind_retail,google_ads,GO3942,NW_Prospecting_UK,153281,2390,1946.28,62,GBP
go-no-00079,2026-07-20,northwind_retail,google_ads,GO9761,NW_Retarget_UK,74903,950,1986.83,27,GBP
go-no-00080,2026-07-20,northwind_retail,google_ads,GO1431,NW_Shopping_UK,149473,5018,1918.36,107,GBP
go-no-00081,2026-07-21,northwind_retail,google_ads,GO5469,NW_BrandSearch_UK,135929,1905,1697.09,105,GBP
go-no-00082,2026-07-21,northwind_retail,google_ads,GO3942,NW_Prospecting_UK,83186,2864,2231.78,79,GBP
go-no-00083,2026-07-21,northwind_retail,google_ads,GO9761,NW_Retarget_UK,103602,1160,431.13,48,GBP
go-no-00084,2026-07-21,northwind_retail,google_ads,GO1431,NW_Shopping_UK,80909,592,519.96,16,GBP
go-no-90001,2026-07-22,northwind_retail,google_ads,GO9001,NW_DataIssue_NegSpend,64098,1183,-95.40,58,GBP
go-no-90002,2026-07-22,northwind_retail,google_ads,,NW_DataIssue_NullId,130893,2462,1886.38,100,GBP
go-no-90003,2026-07-22,northwind_retail,google_ads,GO9003,NW_DataIssue_ClicksGtImps,500,4200,310.00,12,GBP
