row_id,report_date,client_id,platform,campaign_id,campaign_name,impressions,clicks,spend,conversions,currency
sn-no-00001,2026-07-01,northwind_retail,snapchat_ads,SN5469,NW_BrandSearch_UK,42103,1031,2056.14,16,GBP
sn-no-00002,2026-07-01,northwind_retail,snapchat_ads,SN3942,NW_Prospecting_UK,12215,276,1432.67,10,GBP
sn-no-00003,2026-07-01,northwind_retail,snapchat_ads,SN9761,NW_Retarget_UK,57329,1949,955.45,120,GBP
sn-no-00004,2026-07-01,northwind_retail,snapchat_ads,SN1431,NW_Shopping_UK,38907,1161,1281.56,16,GBP
sn-no-00005,2026-07-02,northwind_retail,snapchat_ads,SN5469,NW_BrandSearch_UK,23053,239,2184.51,16,GBP
sn-no-00006,2026-07-02,northwind_retail,snapchat_ads,SN3942,NW_Prospecting_UK,31329,1090,660.59,60,GBP
sn-no-00007,2026-07-02,northwind_retail,snapchat_ads,SN9761,NW_Retarget_UK,68162,1942,1236.83,125,GBP
sn-no-00008,2026-07-02,northwind_retail,snapchat_ads,SN1431,NW_Shopping_UK,86949,2690,2578.07,76,GBP
sn-no-00009,2026-07-03,northwind_retail,snapchat_ads,SN5469,NW_BrandSearch_UK,24789,586,2028.20,39,GBP
sn-no-00010,2026-07-03,northwind_retail,snapchat_ads,SN3942,NW_Prospecting_UK,63470,1532,982.22,22,GBP
sn-no-00011,2026-07-03,northwind_retail,snapchat_ads,SN9761,NW_Retarget_UK,71879,793,565.14,8,GBP
sn-no-00012,2026-07-03,northwind_retail,snapchat_ads,SN1431,NW_Shopping_UK,127096,3303,1433.81,39,GBP
sn-no-00013,2026-07-04,northwind_retail,snapchat_ads,SN5469,NW_BrandSearch_UK,84524,2240,1946.57,83,GBP
sn-no-00014,2026-07-04,northwind_retail,snapchat_ads,SN3942,NW_Prospecting_UK,70190,2301,2133.22,109,GBP
sn-no-00015,2026-07-04,northwind_retail,snapchat_ads,SN9761,NW_Retarget_UK,60857,1115,1598.04,54,GBP
sn-no-00016,2026-07-04,northwind_retail,snapchat_ads,SN1431,NW_Shopping_UK,78633,2356,557.10,47,GBP
sn-no-00017,2026-07-05,northwind_retail,snapchat_ads,SN5469,NW_BrandSearch_UK,89638,2084,2213.33,136,GBP
sn-no-00018,2026-07-05,northwind_retail,snapchat_ads,SN3942,NW_Prospecting_UK,124121,1192,1915.09,61,GBP
sn-no-00019,2026-07-05,northwind_retail,snapchat_ads,SN9761,NW_Retarget_UK,80367,1648,1486.35,24,GBP
sn-no-00020,2026-07-05,northwind_retail,snapchat_ads,SN1431,NW_Shopping_UK,19449,618,2015.97,28,GBP
sn-no-00021,2026-07-06,northwind_retail,snapchat_ads,SN5469,NW_BrandSearch_UK,15780,136,2516.20,8,GBP
sn-no-00022,2026-07-06,northwind_retail,snapchat_ads,SN3942,NW_Prospecting_UK,159784,3679,445.64,205,GBP
sn-no-00023,2026-07-06,northwind_retail,snapchat_ads,SN9761,NW_Retarget_UK,79650,1808,2078.84,37,GBP
sn-no-00024,2026-07-06,northwind_retail,snapchat_ads,SN1431,NW_Shopping_UK,145043,3610,2415.36,75,GBP
sn-no-00025,2026-07-07,northwind_retail,snapchat_ads,SN5469,NW_BrandSearch_UK,162440,3027,2191.34,206,GBP
sn-no-00026,2026-07-07,northwind_retail,snapchat_ads,SN3942,NW_Prospecting_UK,132210,2127,1133.28,106,GBP
sn-no-00027,2026-07-07,northwind_retail,snapchat_ads,SN9761,NW_Retarget_UK,51159,796,1926.08,21,GBP
sn-no-00028,2026-07-07,northwind_retail,snapchat_ads,SN1431,NW_Shopping_UK,113976,3372,1610.21,125,GBP
